Provider,Model Name,Model Code,Output Type,RPM,RPD,TPM,TPD,ASH,ASD,Info / Notes
Google,Gemini 2.5 Flash,gemini-2.5-flash,text,5,20,250000,,,,"Versatile, fast, multimodal tasks for general use."
Google,Gemini 2.5 Pro,gemini-2.5-pro,text,0,0,0,,,,"Complex reasoning, coding, and highly demanding tasks."
Google,Gemini 2 Flash,gemini-2.0-flash,text,0,0,0,,,,"Versatile, fast, multimodal tasks for general use."
Google,Gemini 2 Flash Lite,gemini-2.0-flash-lite,text,0,0,0,,,,"Cost-effective, highly efficient, low-latency tasks."
Google,Gemini 2.5 Flash TTS,gemini-2.5-flash-preview-tts,audio,3,10,10000,,,,"Versatile, fast, multimodal tasks for general use. Text-to-speech generation."
Google,Gemini 2.5 Pro TTS,gemini-2.5-pro-preview-tts,audio,0,0,0,,,,"Complex reasoning, coding, and highly demanding tasks. Text-to-speech generation."
Google,Gemma 3 1B,gemma-3-1b-it,text,30,14400,15000,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 3 4B,gemma-3-4b-it,text,30,14400,15000,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 3 12B,gemma-3-12b-it,text,30,14400,15000,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 3 27B,gemma-3-27b-it,text,30,14400,15000,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Imagen 4 Generate,imagen-4.0-generate-001,image,,25,,,,,"High-quality image generation, editing, and enterprise creative workflows."
Google,Imagen 4 Ultra Generate,imagen-4.0-ultra-generate-001,image,,25,,,,,"High-quality image generation, editing, and enterprise creative workflows. Photorealistic, maximum fidelity."
Google,Imagen 4 Fast Generate,imagen-4.0-fast-generate-001,image,,25,,,,,"High-quality image generation, editing, and enterprise creative workflows. Rapid prototyping, low latency."
Google,Gemma 3 2B,gemma-3-2b-it,text,30,14400,15000,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 4 26B,gemma-4-26b-it,text,15,1500,-1,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 4 31B,gemma-4-31b-it,text,15,1500,-1,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemini Embedding 1,gemini-embedding-001,embeddings,100,1000,30000,,,,"Semantic search, clustering, and retrieval-augmented generation (RAG)."
Google,Gemini 3 Flash,gemini-3-flash-preview,text,5,20,250000,,,,"Versatile, fast, multimodal tasks for general use."
Google,Gemini 3.1 Flash Lite,gemini-3.1-flash-lite-preview,text,15,500,250000,,,,"Cost-effective, highly efficient, low-latency tasks."
Google,Gemini 3.1 Pro,gemini-3.1-pro-preview,text,0,0,0,,,,"Complex reasoning, coding, and highly demanding tasks."
Google,Gemini 2.5 Flash Lite,gemini-2.5-flash-lite,text,10,20,250000,,,,"Cost-effective, highly efficient, low-latency tasks."
Google,Nano Banana (Gemini 2.5 Flash Preview Image),gemini-2.5-flash-image,image,0,0,0,,,,"Versatile, fast, multimodal tasks for general use. Image generation and manipulation."
Google,Nano Banana Pro (Gemini 3 Pro Image),gemini-3-pro-image-preview,image,0,0,0,,,,"Complex reasoning, coding, and highly demanding tasks. Image generation and manipulation."
Google,Nano Banana 2 (Gemini 3.1 Flash Image),gemini-3.1-flash-image-preview,image,0,0,0,,,,"Versatile, fast, multimodal tasks for general use. Image generation and manipulation."
Google,Lyria 3 Clip,lyria-3-clip-preview,audio,0,0,0,,,,High-quality music and audio generation.
Google,Lyria 3 Pro,lyria-3-pro-preview,audio,0,0,0,,,,High-quality music and audio generation.
Google,Veo 3 Generate,veo-3.1-generate-preview,video,0,0,0,,,,"High-definition video generation, cinematic AI workflows."
Google,Veo 3 Fast Generate,veo-3.1-fast-generate-preview,video,0,0,0,,,,"High-definition video generation, cinematic AI workflows."
Google,Veo 3 Lite Generate,veo-3.1-lite-generate-preview,video,0,0,0,,,,"High-definition video generation, cinematic AI workflows."
Google,Gemini 3.1 Flash TTS,gemini-3.1-flash-tts-preview,audio,3,10,10000,,,,"Versatile, fast, multimodal tasks for general use. Text-to-speech generation."
Google,Gemini Robotics ER 1.5 Preview,gemini-robotics-er-1.5-preview,text,10,20,250000,,,,"Robotics, spatial reasoning, embodied AI tasks."
Google,Gemini Robotics ER 1.6 Preview,gemini-robotics-er-1.6-preview,text,5,20,250000,,,,"Robotics, spatial reasoning, embodied AI tasks."
Google,Computer Use Preview,gemini-2.5-computer-use-preview-10-2025,text,0,0,0,,,,"General use, text generation."
Google,Gemini Embedding 2,gemini-embedding-2,embeddings,100,1000,30000,,,,"Semantic search, clustering, and retrieval-augmented generation (RAG)."
Google,Deep Research Pro Preview,deep-research-preview-04-2026,text,0,0,0,,,,"Autonomous multi-step research, comprehensive report generation."
Google,Gemini 2.5 Flash Native Audio Dialog,gemini-2.5-flash-native-audio-preview-12-2025,audio,-1,-1,1000000,,,,"Versatile, fast, multimodal tasks for general use. Real-time conversational agents, streaming interactions."
Google,Gemini 3 Flash Live,gemini-3.1-flash-live-preview,text,-1,-1,65000,,,,"Versatile, fast, multimodal tasks for general use. Real-time conversational agents, streaming interactions."
Google,Gemini 2.5 Flash,,text,500,,,,,,"Map grounding | Versatile, fast, multimodal tasks for general use."
Google,Gemini 2.5 Pro,,text,0,,,,,,"Map grounding | Complex reasoning, coding, and highly demanding tasks."
Google,Gemini 3 Flash,,text,0,,,,,,"Map grounding | Versatile, fast, multimodal tasks for general use."
Google,Gemini 3.1 Flash Lite,,text,500,,,,,,"Map grounding | Cost-effective, highly efficient, low-latency tasks."
Google,Gemini 3.1 Pro,,text,0,,,,,,"Map grounding | Complex reasoning, coding, and highly demanding tasks."
Google,Gemini 2.5 Flash Lite,,text,500,,,,,,"Map grounding | Cost-effective, highly efficient, low-latency tasks."
Google,Gemini 3.1 Flash TTS,,audio,500,,,,,,"Map grounding | Versatile, fast, multimodal tasks for general use. Text-to-speech generation."
Google,Gemini Robotics ER 1.6 Preview,,text,500,,,,,,"Map grounding | Robotics, spatial reasoning, embodied AI tasks."
Google,Computer Use Preview,,text,500,,,,,,"Map grounding | General use, text generation."
Google,Deep Research Pro Preview,,text,500,,,,,,"Map grounding | Autonomous multi-step research, comprehensive report generation."
Google,Gemini 2,,text,1500,,,,,,"Search grounding | General use, text generation."
