Provider,Model Name,Model Code,Output Type,RPM,RPD,TPM,TPD,ASH,ASD,Info / Notes
Google,Gemini 2.5 Flash,gemini-2.5-flash,text,5,20,250000,,,,"Versatile, fast, multimodal tasks for general use."
Google,Gemma 4 26B,gemma-4-26b-it,text,15,1500,-1,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemma 4 31B,gemma-4-31b-it,text,15,1500,-1,,,,"Lightweight, open-weights text generation, fine-tuning, and on-device deployment."
Google,Gemini Embedding 1,gemini-embedding-001,embeddings,100,1000,30000,,,,"Semantic search, clustering, and retrieval-augmented generation (RAG)."
Google,Gemini 3 Flash,gemini-3-flash-preview,text,5,20,250000,,,,"Versatile, fast, multimodal tasks for general use."
Google,Gemini 3.1 Flash Lite,gemini-3.1-flash-lite,text,15,500,250000,,,,"Cost-effective, highly efficient, low-latency tasks."
Google,Gemini 2.5 Flash Lite,gemini-2.5-flash-lite,text,10,20,250000,,,,"Cost-effective, highly efficient, low-latency tasks."
Google,Gemini Embedding 2,gemini-embedding-2,embeddings,100,1000,30000,,,,"Semantic search, clustering, and retrieval-augmented generation (RAG)."
Groq,allam-2-7b,allam-2-7b,text,30,7000,6000,500000,,,"Specialized Arabic language model, localized content."
Groq,groq/compound,groq/compound,text,30,250,70000,,, ,"Routing, mixture of experts, dynamic model selection."
Groq,groq/compound-mini,groq/compound-mini,text,30,250,70000,,, ,"Routing, mixture of experts, dynamic model selection."
Groq,llama-3.1-8b-instant,llama-3.1-8b-instant,text,30,14400,6000,500000,,,"Fast text generation, summarization, general chat."
Groq,llama-3.3-70b-versatile,llama-3.3-70b-versatile,text,30,1000,12000,100000,,,"Complex reasoning, coding, deep comprehension."
Groq,openai/gpt-oss-120b,openai/gpt-oss-120b,text,30,1000,8000,200000,,,General purpose instruction following.
Groq,openai/gpt-oss-20b,openai/gpt-oss-20b,text,30,1000,8000,200000,,,General purpose instruction following.
Groq,qwen/qwen3-32b,qwen/qwen3-32b,text,60,1000,6000,500000,,,"Multilingual text generation, coding, general knowledge."
Google,Gemini 3.5 Flash,gemini-3.5-flash,text,5,20,250000,,,,"Versatile, fast, multimodal tasks for general use."
